Density, ColorClassSize, NumColors, NumVertices, NumEdges, NumStableSets, StableCreationTime, SetCoveringTime, AssignmentTime
0.5, 3, 10, 30, 215, 528, 0.03, 0.08, 0.03
0.5, 3, 20, 60, 856, 4729, 0.0, 0.06, 0.12
0.5, 3, 30, 90, 1906, 16943, 0.0, 0.14, 0.41
0.5, 3, 40, 120, 3518, 36519, 0.0, 0.35, 0.46
0.5, 3, 50, 150, 5545, 70594, 0.02, 0.7, 0.9
0.5, 3, 60, 180, 7778, 131973, 0.02, 1.39, 1.36
0.5, 3, 70, 210, 10905, 193384, 0.01, 5.32, 2.31
0.5, 3, 80, 240, 14284, 288148, 0.03, 8.98, 3.7
0.5, 3, 90, 270, 18039, 413655, 0.04, 15.52, 5.08
0.5, 3, 100, 300, 22223, 572219, 0.09, 23.25, 7.17
